cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CB400703000068;"6225728";CDI-40-NISY-002-2;ND400703000018;ND400703000431;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000130;"144";"59";"43";"6";13.5;Noir;572;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000069;"6225729";CDI-40-NISY-005;ND400703000431;ND400703000428;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"5";"1";"6";10;Noir;113;OUI;;2019/04/12 00:00:00;2019/07/25 10:03:51;KR5657;;
CB400703000070;"6225730";CDI-40-NISY-002-3;ND400703000431;ND400703000279;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000130;"144";"54";"42";"6";13.5;Noir;598;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000071;"6225731";CDI-40-NISY-169;ND400703000279;ND400703000327;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000129;"72";"35";"25";"6";11.5;Noir;490;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000072;"6225732";CDI-40-NISY-003-1;ND400703000327;ND400703000328;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"28";"20";"6";10;Noir;97;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000073;"6225733";CDI-40-NISY-003-2;ND400703000328;ND400703000120;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"25";"17";"6";10;Noir;217;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000074;"6225734";CDI-40-NISY-003-3;ND400703000120;ND400703000168;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"21";"15";"6";10;Noir;182;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000075;"6225735";CDI-40-NISY-170-1;ND400703000168;ND400703100728;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"6";"6";"6";10;Noir;365;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000076;"6225736";CDI-40-NISY-170-2;ND400703100728;ND400703000447;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"2";"4";"6";10;Noir;135;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000077;"6225737";CDI-40-NISY-170-3;ND400703000447;ND400703000123;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"2";"4";"6";10;Noir;232;OUI;;2019/04/12 00:00:00;2022/02/25 00:00:00;KR5657;;
CB400703000078;"6225738";CDI-40-NISY-170-4;ND400703000123;ND400703100731;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"1";"2";"6";10;Noir;230;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000079;"6225739";CDI-40-NISY-013;ND400703000168;ND400703000260;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"5";"1";"6";10;Noir;361;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000056;"6225716";CDI-40-NISY-046-2;ND400703000308;ND400703000352;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"14";"10";"6";10;Noir;419;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000057;"6225717";CDI-40-NISY-046-3;ND400703000352;ND400703000411;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"11";"7";"6";10;Noir;247;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000058;"6225718";CDI-40-NISY-046-4;ND400703000411;ND400703000416;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"7";"5";"6";10;Noir;225;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000091;"6225751";CDI-40-NISY-009-3;ND400703000336;ND400703000240;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/11/25;C;;C;DI;RF033000000126;"24";"1";"2";"6";10;Noir;102;OUI;;2019/04/12 00:00:00;2019/11/25 11:15:38;KR5657;;
CB400703000059;"6225719";CDI-40-NISY-046-5;ND400703000416;ND400703100703;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"4";"2";"6";10;Noir;428;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000060;"6225720";CDI-40-NISY-046-6;ND400703100703;ND400703000351;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"4";"2";"6";10;Noir;222;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000061;"6225721";CDI-40-NISY-047-1;ND400703000042;ND400703000083;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"5";"13";"6";10;Noir;426;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000062;"6225722";CDI-40-NISY-047-2;ND400703000083;ND400703000039;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"5";"13";"6";10;Noir;478;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000063;"6225723";CDI-40-NISY-047-3;ND400703000039;ND400703000070;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"5";"13";"6";10;Noir;313;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000064;"6225724";CDI-40-NISY-047-4;ND400703000070;ND400703100711;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"3";"9";"6";10;Noir;174;OUI;;2019/04/12 00:00:00;2019/07/25 08:47:49;KR5657;;
CB400703000065;"6225725";CDI-40-NISY-047-5;ND400703100711;ND400703100709;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"1";"5";"6";10;Noir;86;OUI;;2019/04/12 00:00:00;2019/07/25 08:48:53;KR5657;;
CB400703000066;"6225726";CDI-40-NISY-001;ND400703100001;ND400703000011;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000035;"288";"129";"111";"12";15;Noir;361;OUI;RF033000000121;2019/04/12 00:00:00;2021/03/07 14:54:04;KR5657;;
CB400703000067;"6225727";CDI-40-NISY-002-1;ND400703000011;ND400703000018;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000130;"144";"59";"43";"6";13.5;Noir;195;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000080;"6225740";CDI-40-NISY-012-1;ND400703000168;ND400703000334;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"7";"5";"6";10;Noir;173;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000081;"6225741";CDI-40-NISY-012-2;ND400703000334;ND400703000179;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"2";"4";"6";10;Noir;188;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000082;"6225742";CDI-40-NISY-010;ND400703000327;ND400703000281;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"3";"3";"6";10;Noir;87;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000083;"6225743";CDI-40-NISY-011-1;ND400703000327;ND400703100766;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"4";"2";"6";10;Noir;420;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000084;"6225744";CDI-40-NISY-011-2;ND400703100766;ND400703000332;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"2";"1";"6";10;Noir;111;OUI;;2019/04/12 00:00:00;2021/12/06 00:00:00;KR5657;;
CB400703000085;"6225745";CDI-40-NISY-006;ND400703000279;ND400703100725;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"4";"2";"6";10;Noir;145;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000086;"6225746";CDI-40-NISY-008-1;ND400703000279;ND400703000280;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"7";"5";"6";10;Noir;50;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000087;"6225747";CDI-40-NISY-008-2;ND400703000280;ND400703000170;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"4";"2";"6";10;Noir;83;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000088;"6225748";CDI-40-NISY-007;ND400703000279;ND400703000326;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"5";"1";"6";10;Noir;343;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000089;"6225749";CDI-40-NISY-009-1;ND400703000279;ND400703000353;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"3";"9";"6";10;Noir;91;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000090;"6225750";CDI-40-NISY-009-2;ND400703000353;ND400703000336;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"2";"4";"6";10;Noir;306;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000092;"6225752";CDI-40-NISY-021-1;ND400703000011;ND400703000060;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"5";"7";"6";10;Noir;133;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000093;"6225753";CDI-40-NISY-021-2;ND400703000060;ND400703000051;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000905;"48";"2";"4";"6";10;Noir;71;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000096;"6225756";CDI-40-NISY-004-1;ND400703000011;ND400703000154;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"7";"11";"6";10;Noir;4;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000097;"6225757";CDI-40-NISY-004-2;ND400703000154;ND400703000109;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"5";"7";"6";10;Noir;33;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000098;"6225758";CDI-40-NISY-004-3;ND400703000109;ND400703100685;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"2";"4";"6";10;Noir;104;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000099;"6225759";CDI-40-NISY-014;ND400703000011;ND400703100765;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000130;"144";"40";"50";"6";13.5;Noir;214;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000100;"6225760";CDI-40-NISY-022-1;ND400703100765;ND400703000284;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"2";"4";"6";10;Noir;55;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000101;"6225761";CDI-40-NISY-022-2;ND400703000284;ND400703000080;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"1";"2";"6";10;Noir;91;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000102;"6225762";CDI-40-NISY-016-1;ND400703100765;ND400703000035;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"4";"8";"6";10;Noir;87;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000103;"6225763";CDI-40-NISY-016-2;ND400703000035;ND400703000086;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"2";"4";"6";10;Noir;17;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000104;"6225764";CDI-40-NISY-017;ND400703100765;ND400703000052;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/07/25;C;;C;DI;RF033000000126;"24";"2";"4";"6";10;Noir;71;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000105;"6225765";CDI-40-NISY-015-1;ND400703100765;ND400703000067;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"11";"13";"6";10;Noir;166;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000106;"6225766";CDI-40-NISY-015-2;ND400703000067;ND400703000028;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"5";"7";"6";10;Noir;76;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000107;"6225767";CDI-40-NISY-018-1;ND400703100765;ND400703000082;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"12";"12";"6";10;Noir;2;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000108;"6225768";CDI-40-NISY-018-2;ND400703000082;ND400703000030;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"8";"10";"6";10;Noir;121;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000109;"6225769";CDI-40-NISY-018-3;ND400703000030;ND400703000001;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;;C;;C;DI;RF033000000126;"24";"6";"6";"6";10;Noir;134;OUI;;2019/04/12 00:00:00;2021/03/07 14:53:57;KR5657;;
CB400703000110;"6225770";CDI-40-NISY-019-1;ND400703100765;ND400703000030;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;NC;;2019/11/28;C;;C;DI;RF033000000126;"24";"9";"9";"6";10;Noir;123;OUI;;2019/11/28 15:43:53;2019/11/28 16:00:31;KR5657;;
CB400703900462;"6766713";CDA40_40-NISY-0250;ND400703000281;ND400703010418;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;;C;RA;RF033000000122;"2";"0";"1";"1";6;Noir;40;OUI;;2019/07/09 15:51:28;2021/03/07 14:54:02;KR5657;;
CB400703900463;"6766714";CDA40_40-NISY-0163;ND400703000284;ND400703010059;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;;C;RA;RF033000000122;"2";"0";"1";"1";6;Noir;29;OUI;;2019/07/09 15:51:25;2021/03/07 14:54:02;KR5657;;
CB400703900503;"6766715";CDA40_40-NISY-0029;ND400703000284;ND400703010060;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;;C;RA;RF033000000122;"2";"0";"1";"1";6;Noir;79;OUI;;2019/07/09 15:51:33;2021/03/07 14:54:02;KR5657;;
CB400703900464;"6766716";CDA40_40-NISY-0087;ND400703100789;ND400703010097;"40";SHL_40292_SAUB;ADR_40264_NISY;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;;C;RA;RF033000000122;"2";"0";"1";"1";6;Noir;131;OUI;;2019/07/09 15:51:23;2021/03/07 14:54:02;D21\GEOMAP02-IBO$;;
