cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CS400703001188;"0";BP400703000030;"9";E;A;;"09";;;;;
CS400703000347;"0";BP400703000105;"3";E;A;;"03";;;;;
CS400703000991;"0";BP400703000003;"0";P;FDB;;"0";;;;;
CS400703001142;"0";BP400703000037;"3";E;A;;"03";;;;;
CS400703001267;"0";BP400703000011;"0";P;FDB;;"0";;;;;
CS400703000538;"0";BP400703000116;"2";E;A;;"02";;;;;
CS400703001233;"0";BP400703000013;"12";E;A;;"12";;;;;
CS400703000504;"0";BP400703000115;"1";E;A;;"01";;;;;
CS400703001114;"0";BP400703000006;"3";E;A;;"03";;;;;
CS400703000216;"0";BP400703000097;"5";E;A;;"05";;;;;
CS400703000520;"0";BP400703000169;"4";E;A;;"04";;;;;
CS400703000829;"0";BP400703000159;"5";E;A;;"05";;;;;
CS400703000672;"0";BP400703000171;"9";E;A;;"09";;;;;
CS400703000307;"0";BP400703000149;"1";E;A;;"01";;;;;
CS400703001213;"0";BP400703000020;"8";E;A;;"08";;;;;
CS400703001303;"0";BP400703000008;"17";E;A;;"17";;;;;
CS400703000022;"0";BP400703000154;"1";E;A;;"01";;;;;
CS400703000102;"0";BP400703000118;"9";E;A;;"09";;;;;
CS400703001315;"0";BP400703000008;"11";E;A;;"11";;;;;
CS400703001120;"0";BP400703000068;"4";E;A;;"04";;;;;
CS400703000740;"0";BP400703000168;"6";E;A;;"06";;;;;
CS400703001138;"0";BP400703000056;"5";E;A;;"05";;;;;
CS400703000330;"0";BP400703000128;"6";E;A;;"06";;;;;
CS400703001371;"0";BP400703000663;"0";P;FDB;;"0";2022/02/25 16:15:33;;;;
CS400703000130;"0";BP400703000015;"3";E;A;;"3";;;;;
CS400703000862;"0";BP400703000099;"2";E;A;;"02";;;;;
CS400703000759;"0";BP400703000028;"3";E;A;;"03";;;;;
CS400703001293;"0";BP400703000011;"26";E;A;;"26";;;;;
CS400703000033;"0";BP400703000154;"5";E;A;;"05";;;;;
CS400703000043;"0";BP400703000133;"1";E;A;;"01";;;;;
CS400703000100;"0";BP400703000118;"10";E;A;;"10";;;;;
CS400700000072;"0";BP400703000007;"9";E;A;;"09";;;;;
CS400703000259;"0";BP400703000060;"2";E;A;;"02";;;;;
CS400703000901;"0";BP400703000029;"0";P;FDB;;"0";;;;;
CS400703000788;"0";BP400703000142;"3";E;A;;"03";;;;;
CS400703001003;"0";BP400703000041;"0";P;FDB;;"0";;;;;
CS400703001176;"0";BP400703000126;"6";E;A;;"06";;;;;
CS400703001064;"0";BP400703000170;"0";P;FDB;;"0";;;;;
CS400703000564;"0";BP400703000082;"6";E;A;;"06";;;;;
CS400703000281;"0";BP400703000121;"4";E;A;;"04";;;;;
CS400703000328;"0";BP400703000128;"2";E;A;;"02";;;;;
CS400703000334;"0";BP400703000002;"3";E;A;;"3";;;;;
CS400703001251;"0";BP400703000012;"6";E;A;;"06";;;;;
CS400703000442;"0";BP400703000135;"6";E;A;;"06";;;;;
CS400703000516;"0";BP400703000103;"6";E;A;;"06";;;;;
CS400703000746;"0";BP400703000168;"2";E;A;;"02";;;;;
CS400703000020;"0";BP400703000166;"5";E;A;;"05";;;;;
CS400703000691;"0";BP400703000111;"6";E;A;;"06";;;;;
CS400703001059;"0";BP400703000129;"0";P;FDB;;"0";;;;;
CS400703000127;"0";BP400703000022;"2";E;A;;"2";;;;;
CS400703000714;"0";BP400703000078;"4";E;A;;"04";;;;;
CS400703000706;"0";BP400703000167;"6";E;A;;"06";;;;;
CS400703001017;"0";BP400703000113;"0";P;FDB;;"0";;;;;
CS400703001145;"0";BP400703000033;"19";E;A;;"19";;;;;
CS400703000868;"0";BP400703000151;"3";E;A;;"03";;;;;
CS400703000237;"0";BP400703000018;"2";E;A;;"2";;;;;
CS400703000725;"0";BP400703000046;"4";E;A;;"04";;;;;
CS400703000385;"0";BP400703000010;"2";E;A;;"2";;;;;
CS400703000429;"0";BP400703000066;"4";E;A;;"04";;;;;
CS400703000272;"0";BP400703000032;"12";E;A;;"12";;;;;
CS400703000922;"0";BP400703000113;"1";E;A;;"01";;;;;
CS400703000517;"0";BP400703000103;"4";E;A;;"04";;;;;
CS400703000769;"0";BP400703000063;"2";E;A;;"02";;;;;
CS402078000914;"0";BP402078000004;"1";E;A;;"01";2019/11/06 10:21:03;;ImportGrace-61;;
CS400703001245;"0";BP400703000012;"17";E;A;;"17";;;;;
CS400703000653;"0";BP400703000091;"2";E;A;;"02";;;;;
CS400703001279;"0";BP400703000011;"13";E;A;;"13";;;;;
CS400703001051;"0";BP400703000168;"0";P;FDB;;"0";;;;;
CS400703000758;"0";BP400703000079;"5";E;A;;"05";;;;;
CS400703001284;"0";BP400703000011;"8";E;A;;"08";;;;;
CS400703001347;"0";BP400703000023;"4";E;A;;"04";2021/12/09 11:38:40;;;;
CS400703001053;"0";BP400703000079;"0";P;FDB;;"0";;;;;
CS400703000479;"0";BP400703000073;"4";E;A;;"04";;;;;
CS400703000911;"0";BP400703000166;"0";P;FDB;;"0";;;;;
CS400703000484;"0";BP400703000130;"6";E;A;;"06";;;;;
CS400703001272;"0";BP400703000011;"22";E;A;;"22";;;;;
CS400703000247;"0";BP400703000022;"1";E;A;;"1";;;;;
CS400703000016;"0";BP400703000166;"12";E;A;;"12";;;;;
CS400703000887;"0";BP400703000140;"6";E;A;;"06";;;;;
CS400703000503;"0";BP400703000127;"4";E;A;;"04";;;;;
CS400703000879;"0";BP400703000156;"2";E;A;;"02";;;;;
CS400703000289;"0";BP400703000122;"10";E;A;;"10";;;;;
CS400703000613;"0";BP400703000147;"3";E;A;;"03";;;;;
CS400703001193;"0";BP400703000023;"1";E;A;;"1";;;;;
CS400703000424;"0";BP400703000132;"5";E;A;;"05";;;;;
CS400703000565;"0";BP400703000082;"4";E;A;;"04";;;;;
CS400703000009;"0";BP400703000166;"1";E;A;;"01";;;;;
CS400703000897;"0";BP400703000045;"0";P;FDB;;"0";;;;;
CS400703000225;"0";BP400703000139;"5";E;A;;"05";;;;;
CS402078000834;"0";BP402078000004;"20";E;A;;"20";;;;;
CS400703000716;"0";BP400703000038;"4";E;A;;"04";;;;;
CS400703001192;"0";BP400703000023;"0";P;FDB;;"0";;;;;
CS400703000705;"0";BP400703000167;"3";E;A;;"03";;;;;
CS400703000845;"0";BP400703000065;"6";E;A;;"06";;;;;
CS400703001061;"0";BP400703000112;"0";P;FDB;;"0";;;;;
CS400703000180;"0";BP400703000162;"10";E;A;;"10";;;;;
CS400703000360;"0";BP400703000009;"7";E;A;;"07";;;;;
CS400703000143;"0";BP400703000048;"9";E;A;;"09";;;;;
CS400703001161;"0";BP400703000033;"1";E;A;;"01";;;;;
CS400703000489;"0";BP400703000074;"3";E;A;;"03";;;;;
CS400703000285;"0";BP400703000122;"11";E;A;;"11";;;;;
CS400703000502;"0";BP400703000127;"6";E;A;;"06";;;;;
CS400703000892;"0";BP400703000035;"0";P;FDB;;"0";;;;;
CS400703000318;"0";BP400703000090;"1";E;A;;"01";;;;;
CS400703000848;"0";BP400703000158;"1";E;A;;"01";;;;;
CS400703000675;"0";BP400703000171;"5";E;A;;"05";;;;;
CS400703000305;"0";BP400703000100;"4";E;A;;"04";;;;;
CS400703000242;"0";BP400703000051;"4";E;A;;"04";;;;;
CS400703001275;"0";BP400703000011;"25";E;A;;"25";;;;;
CS400703000017;"0";BP400703000166;"9";E;A;;"09";;;;;
CS402078000837;"0";BP402078000004;"17";E;A;;"17";;;;;
CS400703000510;"0";BP400703000115;"4";E;A;;"04";;;;;
CS400703000930;"0";BP400703000096;"3";E;A;;"03";;;;;
CS400703001046;"0";BP400703000092;"0";P;FDB;;"0";;;;;
CS400703000145;"0";BP400703000048;"2";E;A;;"02";;;;;
CS400703001467;"0";BP400703000677;"4";E;A;;"04";2022/06/02 15:11:02;;;;
CS400703000704;"0";BP400703000167;"2";E;A;;"02";;;;;
CS400703000855;"0";BP400703000164;"2";E;A;;"02";;;;;
CS400703001024;"0";BP400703000158;"0";P;FDB;;"0";;;;;
CS400703000558;"0";BP400703000080;"6";E;A;;"06";;;;;
CS400703001063;"0";BP400703000111;"0";P;FDB;;"0";;;;;
CS400703000483;"0";BP400703000130;"3";E;A;;"03";;;;;
CS400703001203;"0";BP400703000020;"17";E;A;;"17";;;;;
CS400703000011;"0";BP400703000166;"11";E;A;;"11";;;;;
CS400703001319;"0";BP400703000008;"4";E;A;;"04";;;;;
CS400703001345;"0";BP400703000021;"4";E;A;;"04";2021/12/09 10:34:40;;;;
CS400703000934;"0";BP400703000085;"1";E;A;;"01";;;;;
CS400703000236;"0";BP400703000018;"3";E;A;;"3";;;;;
CS400703000747;"0";BP400703000168;"5";E;A;;"05";;;;;
CS400703000131;"0";BP400703000015;"2";E;A;;"2";;;;;
CS400703001074;"0";BP400703000014;"0";P;FDB;;"0";;;;;
CS400703001162;"0";BP400703000033;"2";E;A;;"02";;;;;
CS400703000781;"0";BP400703000144;"2";E;A;;"02";;;;;
