bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_lt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
BP400703000638;PBO-40-NISY-141;"8499157";PT400703000030;;;OR033001001996;OR033001001506;OR033001001506;LOC;REC;OK;;;C;B048;PBO;RF033000000200;;;"5";;;;;;2019/11/28 15:43:53;;D21\SX5760;;
BP400703000009;BPE-40-NISY-004;"6225497";PT400703000014;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B144;BPE;RF033000000201;"0";;"13";"0";;;;;2019/04/12 00:00:00;;;;
BP400703000533;40-NISY-0097;"6264778";;;SF400703000136;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:24;;;;
BP400703000232;40-NISY-0423;"6265101";;;SF400703000209;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:32;;;;
BP400703000528;40-NISY-0091;"6264764";;;SF400703000187;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:23;;;;
BP400703000165;PBO-40-NISY-139;"6225653";PT400703000416;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B072;PBO;RF033000000228;"0";;"7";"0";;;;;2019/04/12 00:00:00;;D21\GEOMAP02-IBO$;;
BP400703000315;40-NISY-0255;"6264955";;;SF400703000176;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:29;;;;
BP400703000479;40-NISY-0168;"6264818";;;SF400703000226;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:25;;;;
BP400703000467;40-NISY-0156;"6264563";;;SF400703000005;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:18;;;;
BP400703000434;40-NISY-0244;"6264939";;;SF400703000252;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:28;;;;
BP400703000224;40-NISY-0415;"6264679";;;SF400703000258;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:21;;;;
BP400703000312;40-NISY-0371;"6264632";;;SF400703000223;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:20;;;;
BP400703000184;40-NISY-0460;"6264702";;;SF400703000104;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:22;;;;
BP400703000551;40-NISY-0116;"6265165";;;SF400703000044;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:33;;;;
BP400703000210;40-NISY-0400;"6264423";;;SF400703000120;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:14;;;;
BP400703000141;PBO-40-NISY-118;"6225629";PT400703000344;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B072;PBO;RF033000000228;"0";;"7";"0";;;;;2019/04/12 00:00:00;;D21\SX5760;;
BP400703000121;PBO-40-NISY-100;"6225609";PT400703000292;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B072;PBO;RF033000000228;"0";;"7";"0";;;;;2019/04/12 00:00:00;;D21\SX5760;;
BP400703000038;PBO-40-NISY-026;"6225526";PT400703000052;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B048;PBO;RF033000000200;"0";;"4";"0";;;;;2019/04/12 00:00:00;;;;
BP400703000172;40-NISY-0446;"6264683";;;SF400703000361;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:21;;;;
BP400703000626;40-NISY-0059;"6265140";;;SF400703000087;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:33;;;;
BP400703000031;BPE-40-NISY-010;"6225519";PT400703000042;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B144;BPE;RF033000000201;"0";;"13";"0";;;;;2019/04/12 00:00:00;;D21\GEOMAP02-IBO$;;
BP400703000024;PBO-40-NISY-016;"6225512";PT400703000029;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B048;PBO;RF033000000200;"0";;"5";"0";;;;;2019/04/12 00:00:00;;;;
BP400703000135;PBO-40-NISY-112;"6225623";PT400703000328;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B072;PBO;RF033000000228;"0";;"7";"0";;;;;2019/04/12 00:00:00;;;;
BP400703000405;40-NISY-0211;"6264608";;;SF400703000275;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:19;;;;
BP400703000276;40-NISY-0331;"6264372";;;SF400703000336;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:13;;;;
BP400703000017;PBO-40-NISY-010;"6225505";PT400703000022;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B048;PBO;RF033000000200;"0";;"5";"0";;;;;2019/04/12 00:00:00;;D21\GEOMAP02-IBO$;;
BP400703000339;40-NISY-0266;"6264971";;;SF400703000106;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:29;;;;
BP400703000285;40-NISY-0341;"6264387";;;SF400703000302;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:14;;;;
BP400703000329;40-NISY-0225;"6264903";;;SF400703000227;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:27;;;;
BP400703000125;PBO-40-NISY-103;"6225613";PT400703000305;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B072;PBO;RF033000000228;"0";;"7";"0";;;;;2019/04/12 00:00:00;;;;
BP400703000400;40-NISY-0206;"6264601";;;SF400703000235;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:19;;;;
BP400703000505;40-NISY-0181;"6264592";;;SF400703000068;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:18;;;;
BP400703000306;40-NISY-0365;"6264411";;;SF400703000284;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:14;;;;
BP400703000253;40-NISY-0306;"6264364";;;SF400703000407;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:13;;;;
BP400703000508;40-NISY-0070;"6265158";;;SF400703000026;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:33;;;;
BP400703000418;40-NISY-0226;"6264905";;;SF400703000108;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;DTI2;PTO;RF033000000028;;;"0";;;;;;2019/07/09 15:51:27;;;;
BP400703000058;PBO-40-NISY-043;"6225546";PT400703000086;;;OR033001001996;OR033001001506;OR033001001506;CST;REC;OK;;;C;B048;PBO;RF033000000200;"0";;"4";"0";;;;;2019/04/12 00:00:00;;;;
