fo_code;fo_code_ext;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_type;fo_etat;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
FO400703003448;"6671111";CB400703000001;"114";"10";"6";G657A2;NC;"1.6";"1.10";CST;;2019/07/15 14:23:40;;;;
FO400703003462;"6671112";CB400703000001;"115";"10";"7";G657A2;NC;"1.2";"1.10";CST;;2019/07/15 14:23:40;;;;
FO400703002948;"6671077";CB400703000001;"80";"7";"8";G657A2;NC;"1.8";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703002949;"6671070";CB400703000001;"73";"7";"1";G657A2;NC;"1";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703002968;"6671076";CB400703000001;"79";"7";"7";G657A2;NC;"1.2";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703002969;"6671071";CB400703000001;"74";"7";"2";G657A2;NC;"1.1";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703002989;"6671079";CB400703000001;"82";"7";"10";G657A2;NC;"10";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703002990;"6671072";CB400703000001;"75";"7";"3";G657A2;NC;"1.3";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703003011;"6671078";CB400703000001;"81";"7";"9";G657A2;NC;"1.9";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703003012;"6671073";CB400703000001;"76";"7";"4";G657A2;NC;"1.4";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703003029;"6671081";CB400703000001;"84";"7";"12";G657A2;NC;"1.12";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703003413;"6671080";CB400703000001;"83";"7";"11";G657A2;NC;"11";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703003414;"6671074";CB400703000001;"77";"7";"5";G657A2;NC;"1.5";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703003434;"6671075";CB400703000001;"78";"7";"6";G657A2;NC;"1.6";"1.7";CST;;2019/07/15 14:23:40;;;;
FO400703002861;"6671036";CB400703000001;"167";"14";"11";G657A2;NC;"11";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703002882;"6671037";CB400703000001;"168";"14";"12";G657A2;NC;"1.12";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703002972;"6671030";CB400703000001;"161";"14";"5";G657A2;NC;"1.5";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703002973;"6671027";CB400703000001;"158";"14";"2";G657A2;NC;"1.1";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703002993;"6671031";CB400703000001;"162";"14";"6";G657A2;NC;"1.6";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703002994;"6671026";CB400703000001;"157";"14";"1";G657A2;NC;"1";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703003015;"6671028";CB400703000001;"159";"14";"3";G657A2;NC;"1.3";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703003032;"6671029";CB400703000001;"160";"14";"4";G657A2;NC;"1.4";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703003417;"6671034";CB400703000001;"165";"14";"9";G657A2;NC;"1.9";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703003436;"6671035";CB400703000001;"166";"14";"10";G657A2;NC;"10";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703003452;"6671032";CB400703000001;"163";"14";"7";G657A2;NC;"1.2";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703003465;"6671033";CB400703000001;"164";"14";"8";G657A2;NC;"1.8";"1.14";CST;;2019/07/15 14:23:40;;;;
FO400703002818;"6671084";CB400703000001;"87";"8";"3";G657A2;NC;"1.3";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002858;"6671092";CB400703000001;"95";"8";"11";G657A2;NC;"11";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002878;"6671093";CB400703000001;"96";"8";"12";G657A2;NC;"1.12";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002898;"6671090";CB400703000001;"93";"8";"9";G657A2;NC;"1.9";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002912;"6671091";CB400703000001;"94";"8";"10";G657A2;NC;"10";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002928;"6671088";CB400703000001;"91";"8";"7";G657A2;NC;"1.2";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002947;"6671089";CB400703000001;"92";"8";"8";G657A2;NC;"1.8";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002967;"6671086";CB400703000001;"89";"8";"5";G657A2;NC;"1.5";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002988;"6671087";CB400703000001;"90";"8";"6";G657A2;NC;"1.6";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703003433;"6671083";CB400703000001;"86";"8";"2";G657A2;NC;"1.1";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703003450;"6671082";CB400703000001;"85";"8";"1";G657A2;NC;"1";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703003464;"6671085";CB400703000001;"88";"8";"4";G657A2;NC;"1.4";"1.8";CST;;2019/07/15 14:23:40;;;;
FO400703002820;"6671019";CB400703000001;"150";"13";"6";G657A2;NC;"1.6";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703002832;"6671018";CB400703000001;"149";"13";"5";G657A2;NC;"1.5";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703002847;"6671025";CB400703000001;"156";"13";"12";G657A2;NC;"1.12";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703002862;"6671024";CB400703000001;"155";"13";"11";G657A2;NC;"11";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703002883;"6671023";CB400703000001;"154";"13";"10";G657A2;NC;"10";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703002902;"6671022";CB400703000001;"153";"13";"9";G657A2;NC;"1.9";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703002974;"6671014";CB400703000001;"145";"13";"1";G657A2;NC;"1";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703002995;"6671015";CB400703000001;"146";"13";"2";G657A2;NC;"1.1";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703003033;"6671016";CB400703000001;"147";"13";"3";G657A2;NC;"1.3";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703003418;"6671017";CB400703000001;"148";"13";"4";G657A2;NC;"1.4";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703003453;"6671021";CB400703000001;"152";"13";"8";G657A2;NC;"1.8";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703003466;"6671020";CB400703000001;"151";"13";"7";G657A2;NC;"1.2";"1.13";CST;;2019/07/15 14:23:40;;;;
FO400703002813;"6671179";CB400703000001;"54";"5";"6";G657A2;NC;"1.6";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703002872;"6671182";CB400703000001;"57";"5";"9";G657A2;NC;"1.9";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703002893;"6671183";CB400703000001;"58";"5";"10";G657A2;NC;"10";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703002982;"6671185";CB400703000001;"60";"5";"12";G657A2;NC;"1.12";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703002983;"6671176";CB400703000001;"51";"5";"3";G657A2;NC;"1.3";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703003004;"6671184";CB400703000001;"59";"5";"11";G657A2;NC;"11";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703003005;"6671177";CB400703000001;"52";"5";"4";G657A2;NC;"1.4";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703003023;"6671174";CB400703000001;"49";"5";"1";G657A2;NC;"1";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703003039;"6671175";CB400703000001;"50";"5";"2";G657A2;NC;"1.1";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703003426;"6671180";CB400703000001;"55";"5";"7";G657A2;NC;"1.2";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703003444;"6671181";CB400703000001;"56";"5";"8";G657A2;NC;"1.8";"1.5";CST;;2019/07/15 14:23:40;;;;
FO400703003459;"6671178";CB400703000001;"53";"5";"5";G657A2;NC;"1.5";"1.5";CST;;2019/07/15 14:23:40;;;;
