ps_code;ps_numero;ps_1;ps_2;ps_cs_code;ps_ti_code;ps_type;ps_fonct;ps_etat;ps_preaff;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS400703002611;"1";;FO400703008900;CS400703000977;;;AT;HS;;;;;afm;;
PS400703069856;"1";;FO400703005802;CS400703000893;;;AT;HS;;;;;afm;;
PS400703131311;"1";;FO400703009812;CS400703001296;;;AT;HS;;;;;afm;;
PS400703086169;"1";;FO400703010065;CS400703000907;;;AT;HS;;;;;afm;;
PS400703116582;"1";FO400703003131;;CS400703000984;;;AT;OK;;;;;afm;;
PS400703018810;"1";;FO400703009374;CS400703000911;;;AT;HS;;;;;afm;;
PS400703130737;"1";FO400703008324;;CS400703001325;;;AT;OK;;;;;;;
PS400703075419;"10";FO400703006817;;CS400703000961;;;AT;OK;;;;;;;
PS400703132631;"1";;FO400703005400;CS400703001196;;;AT;HS;;;;;afm;;
PS400703131839;"1";;FO400703009816;CS400703001296;;;AT;HS;;;;;afm;;
PS400703047015;"1";;FO400703000921;CS400703001001;;;AT;HS;;;;;afm;;
PS400703134538;"1";;FO400703003605;CS400703001238;;;AT;HS;;;;;afm;;
PS400703117108;"1";FO400703003149;;CS400703000984;;;AT;OK;;;;;afm;;
PS400703090323;"1";;FO400703010684;CS400703001022;;;AT;HS;;;;;afm;;
PS400703083777;"1";;FO400703008205;CS400703000994;;;AT;HS;;;;;afm;;
PS400703138601;"277";FO400703002891;FO400703006176;CS400703001267;;;PA;OK;;;;;;;
PS400703090835;"60";FO400703010189;;CS400703001022;;;AT;OK;;;;;;;
PS400703023908;"2";FO400703000822;;CS400703000906;;;AT;OK;;;;;;;
PS400703095899;"1";FO400703005619;FO400703005547;CS400703000900;;;PA;OK;;;;;afmu;;
PS400703065272;"1";FO400703005604;;CS400703000890;;;AT;OK;;;;;afm;;
PS400703091555;"1";;FO400703002363;CS400703001022;;;AT;HS;;;;;afm;;
PS400703044101;"3";FO400703012149;FO400703012005;CS400703000912;;;PA;OK;;;;;;;
PS400703071025;"1";FO400703005756;FO400703005684;CS400703000892;;;PA;OK;;;;;afmu;;
PS400703040917;"1";FO400703003296;FO400703003092;CS400703001037;;;PA;OK;;;;;afmu;;
PS400703070009;"1";FO400703010177;FO400703010947;CS400703000716;;SFU;EP;OK;ABONNE;;;;;;
PS400703061593;"1";FO400703011775;;CS400703000904;;;AT;OK;;;;;afm;;
PS400703043787;"1";;FO400703012002;CS400703000912;;;AT;HS;;;;;afm;;
PS400703134177;"1";FO400703004871;;CS400703001143;;;AT;OK;;;;;afm;;
PS402078049680;"1";FO400000001396;;CS402078000877;;;AT;OK;;;2019/11/06 10:21:52;;afm;;
PS400703061379;"1";FO400703011776;;CS400703000904;;;AT;OK;;;;;afm;;
PS400703117446;"1";FO400703003157;;CS400703000984;;;AT;OK;;;;;afm;;
PS400703074624;"1";;FO400703009315;CS400703000961;;;AT;HS;;;;;afm;;
PS400703132622;"1";;FO400703004846;CS400703001196;;;AT;HS;;;;;afm;;
PS400703133976;"1";FO400703005420;;CS400703001143;;;AT;OK;;;;;afm;;
PS400703145671;"1";FO400703007360;FO400703012493;CS400703001436;;;PA;OK;;;2022/06/02 14:20:54;;;;
PS400703139186;"1";;FO400703004858;CS400703001196;;;AT;HS;;;;;afm;;
PS400703111160;"1";;FO400703009069;CS400703001006;;;AT;HS;;;;;afm;;
PS400703062046;"1";FO400703011773;;CS400703000904;;;AT;OK;;;;;afm;;
PS400703139434;"1";FO400703005435;;CS400703001143;;;AT;OK;;;;;afm;;
